,feature,perm_imp,scoring
67,CL_1001106_me,0.0219179062353418,roc_auc
66,stromal_perc_expr,0.019393717752001473,roc_auc
65,CL_1001431_me,0.01907570975410029,roc_auc
64,CL_0000115_me,0.018467519458114402,roc_auc
63,CL_1001432_me,0.01811333805045192,roc_auc
62,vascular_endothelial_perc_expr,0.017796125072545577,roc_auc
61,mesangial_perc_expr,0.01662625315026669,roc_auc
60,CL_1000768_me,0.014032500417385508,roc_auc
59,CL_1001111_me,0.013512159830819747,roc_auc
58,stromal_nTPM,0.01328478411232048,roc_auc
57,CL_1001318_me,0.011994466660836523,roc_auc
56,CL_1000849_me,0.011961473331054262,roc_auc
55,ureteric_bud_nTPM,0.01156038574370144,roc_auc
54,vascular_endothelial_nTPM,0.01151109450402672,roc_auc
53,mesangial_nTPM,0.010999499137403302,roc_auc
52,metanephric_nTPM,0.010969685887600033,roc_auc
51,CL_1001107_me,0.010117026943227626,roc_auc
50,gtex_testis,0.0073269042716424424,roc_auc
49,gnomad_pLI,0.006290993218479457,roc_auc
48,no_paralogues_95,0.0057368642821366885,roc_auc
47,CL_1000692_me,0.005410906084288025,roc_auc
46,CL_0000653_me,0.005398185764371987,roc_auc
45,gtex_retina,0.0053703600645556016,roc_auc
44,CL_1000452_me,0.005196648195702158,roc_auc
43,gtex_kidney,0.004004913223567596,roc_auc
42,gtex_thyroid_gland,0.003634831416010109,roc_auc
41,CL_1000692_pc,0.0033418665479437283,roc_auc
40,gtex_pituitary_gland,0.0030914352495965193,roc_auc
39,gtex_skeletal_muscle,0.003080304969669978,roc_auc
38,gtex_heart_muscle,0.0026132307227527463,roc_auc
37,gtex_small_intestine,0.001938258747207522,roc_auc
36,gtex_spinal_cord,0.0019219608373150176,roc_auc
35,gtex_brain_median,0.0018615393177138229,roc_auc
34,gtex_adipose_tissue,0.0018492165077951483,roc_auc
33,CL_0002306_pc,0.0018237758679630733,roc_auc
32,CL_1001107_pc,0.0017255908986110846,roc_auc
31,CL_1001106_pc,0.0016170706693273695,roc_auc
30,gtex_stomach,0.001595605129468991,roc_auc
29,CL_1000849_pc,0.0015777171795870349,roc_auc
28,CL_1001432_pc,0.0015630093096841158,roc_auc
27,gtex_breast,0.001509742970035677,roc_auc
26,gtex_esophagus,0.0014739670702718088,roc_auc
25,CL_1001431_pc,0.0014731720502770607,roc_auc
24,gtex_lung,0.0014509114904240005,roc_auc
23,gtex_vagina,0.0013404037111533595,roc_auc
22,gtex_liver,0.0013050253213868989,roc_auc
21,gtex_adrenal_gland,0.0012724295016019794,roc_auc
20,gtex_cervix,0.0012525540017331415,roc_auc
19,gtex_fallopian_tube,0.0012489764117567636,roc_auc
18,CL_0000653_pc,0.0012485789017593785,roc_auc
17,CL_1000768_pc,0.0011205806826041441,roc_auc
16,gtex_prostate,0.0010883823728166987,roc_auc
15,gtex_skin,0.0010422712131209933,roc_auc
14,gtex_urinary_bladder,0.0010299484032023187,roc_auc
13,CL_1001111_pc,0.0008629942043042682,roc_auc
12,gnomad_p,0.0007755420048814576,roc_auc
11,gnomad_classic_caf,0.0007167105252696926,roc_auc
10,gtex_endometrium,0.000707567795330033,roc_auc
9,CL_0000115_pc,0.0006853072354769507,roc_auc
8,CL_1000452_pc,0.0006570840256632682,roc_auc
7,gnomad_max_af,0.0006125629059571036,roc_auc
6,CL_1001318_pc,0.0005736069262141763,roc_auc
5,gtex_ovary,0.0004615091069540611,roc_auc
4,gtex_colon,0.0004336834071376972,roc_auc
3,gtex_spleen,0.000415795457255741,roc_auc
2,gnomad_exp_hom_lof,0.00013714094909489383,roc_auc
1,gtex_salivary_gland,9.97750093415295e-05,roc_auc
0,gtex_pancreas,1.590039989505243e-05,roc_auc
